ticker,baseline_distress,sifi_rank,sis_score,daily_vol_60d,cva_baseline,cva_post_shock,delta_cva,pd_post_reliance_shock,delta_pd_reliance_shock
LT.NS,0.0727742,15,0.011729395017027855,0.0052730083,1320.8110916679552,1319.5215968028826,-1.2894948650725837,0.07270315,-7.104874e-05
KOTAKBANK.NS,0.05867892,16,0.011051838286221027,0.002756747,1064.9896306458193,1995.1038589420791,930.1142282962599,0.10992646,0.05124754
BAJFINANCE.NS,0.07344559,17,0.010768226347863674,0.0047990573,1332.9963854264945,1300.6247364925237,-32.371648933970846,0.07166197,-0.0017836168
ICICIBANK.NS,0.09565991,18,0.010183784179389477,0.0043270136,1736.1739391100798,3379.7103291193184,1643.5363900092386,0.18621567,0.09055576
HINDUNILVR.NS,0.058581524,19,0.010161472484469414,0.0030863667,1063.221916549378,1022.8389291840699,-40.382987365308054,0.056356497,-0.0022250265
M&M.NS,0.050868206,20,0.009952547959983349,0.00498919,923.229507573433,1131.847153788028,208.61764621459497,0.062362645,0.011494439
SUNPHARMA.NS,0.060191963,21,0.009468060918152332,0.0031751983,1092.4504893616713,1179.7605558758194,87.31006651414805,0.06500258,0.00481062
COALINDIA.NS,0.055734314,22,0.009356080554425716,0.003750692,1011.5466538912333,975.2839379750407,-36.26271591619263,0.053736307,-0.0019980073
SBIN.NS,0.09542494,23,0.008753998205065727,0.004004913,1731.9093837871144,1670.285971146412,-61.62341264070233,0.09202961,-0.003395334
GRASIM.NS,0.08689768,24,0.008663014508783817,0.004768341,1577.1443074422793,1813.4568172871575,236.31250984487815,0.09991805,0.013020374
UPL.NS,0.09596866,25,0.008612259291112423,0.0060529285,1741.7776164599761,2715.6383231582877,973.8607066983116,0.14962655,0.05365789
WIPRO.NS,0.055765353,26,0.00855618342757225,0.003170652,1012.109996551457,1581.4104854517361,569.3004889002791,0.08713274,0.031367384
HINDALCO.NS,0.06705852,27,0.00855014007538557,0.004512475,1217.074637414489,2017.0986982120453,800.0240607975563,0.11113834,0.044079818
JSWSTEEL.NS,0.07044622,28,0.008374552242457867,0.0049004327,1278.559580807935,1934.92531339799,656.3657325900551,0.10661074,0.036164515
ADANIPORTS.NS,0.041137557,29,0.007983534596860409,0.008436461,746.6236795633666,835.708491815418,89.08481225205139,0.046045963,0.0049084052
HDFCBANK.NS,0.06894668,30,0.007820028811693192,0.005156173,1251.3437477522666,1407.229830014829,155.88608226256247,0.07753571,0.008589029
TCS.NS,0.07325314,31,0.0077994451858103275,0.0043460173,1329.5035527540083,2185.8118467404497,856.3082939864414,0.12043411,0.047180973
INDUSINDBK.NS,0.038391095,32,0.006077990867197514,0.009258621,696.776914133149,696.776914133149,0.0,0.038391095,0.0
AXISBANK.NS,0.07185594,33,0.005631416570395231,0.003925935,1304.1451548353614,1298.5046965916627,-5.640458243698731,0.07154516,-0.00031077862
ITC.NS,0.06256819,34,0.00536600686609745,0.003593699,1135.57764241955,1051.8393793204636,-83.73826309908645,0.057954367,-0.0046138205
POWERGRID.NS,0.059776258,35,0.005050220061093569,0.005396842,1084.905673296578,1279.552124045103,194.646450748525,0.07050091,0.010724653
HEROMOTOCO.NS,0.06761123,36,0.005027165170758963,0.0043296344,1227.106085303599,1275.016850525842,47.91076522224307,0.070251025,0.0026397929
BAJAJ-AUTO.NS,0.039061658,37,0.0042829932644963264,0.0046774363,708.9472656535811,708.9472656535811,0.0,0.039061658,0.0
INFY.NS,0.050159886,38,0.0038771817926317453,0.004552748,910.3739090701197,1013.9702713898383,103.59636231971865,0.05586785,0.0057079643
ASIANPAINT.NS,0.06058505,39,0.0034424501936882734,0.0064660623,1099.5848333564074,1040.4438605996193,-59.14097275678819,0.057326496,-0.0032585561
EICHERMOT.NS,0.06099633,40,0.0033993793185800314,0.0037483706,1107.0493264401823,1090.1476943947298,-16.901632045452516,0.060065083,-0.00093124807
BHARTIARTL.NS,0.061207768,41,0.003390201134607196,0.0040168576,1110.8867771562548,2280.5947226066405,1169.7079454503858,0.12565647,0.0644487
ADANIENT.NS,0.046141382,42,0.002946100663393736,0.012418013,837.4403039732396,855.323526122044,17.883222148804407,0.047126714,0.0009853318
DRREDDY.NS,0.0341732,43,0.0025684337597340345,0.00543033,620.2245153248971,620.2245153248971,0.0,0.0341732,0.0
BRITANNIA.NS,0.07388643,44,0.002518338616937399,0.004138617,1340.9974468433868,1340.9974468433868,0.0,0.07388643,0.0
